id,idade,sexo,escolaridade,estadocivil,ocupacao,tempodeservico,religiao,contatoanterior,lidadiretamente,lida.onde,materialdidatico,prazoatividades,interacaopares,organizacaocurso,import.ajud.tutor,autoavaliacao.x,part.outrocurso,pp001,pp002,pp003,pp004,pp005,pp006,pp007,pp008,pp009,pp010,pp011,pp012,pp013,pp014,pp015,pp016,pp017,pp018,pp019,pp020,pp021,pp022,pp023,pp024,pp025,pp026,pp027,pp028,pp029,pp030,pp031,pp032,pp033,pp034,pp035,pp036,pp037,aprovado,Identificação pessoal com o tema (motivopart),Identificação profissional com o tema (motivopart),Para aquisição de conhecimento na área (motivopart),Pelo fato de o curso ser gratuito (motivopart),Pelo fato de o curso estar vinculado à Universidade (motivopart),Por ser um curso à distância (motivopart),Por ser uma oportunidade de formação continuada (motivopart),Ausência da família (barreiras),Pouca comunicação com os pais (barreiras),Uso de substâncias por familiares (barreiras),Presença de drogas ilícitas no ambiente escolar (barreiras),Proximidade da rede de distribuição de drogas (barreiras),Ausência de limites dos alunos (barreiras),Ausência de colaboração da equipe escolar (barreiras),Ausência de regras no ambiente escolar (barreiras),Possuir alunos interessados na temática (facilitadores),Presença de uma equipe para trabalhar a temática (facilitadores),Estímulo aos alunos (facilitadores),Desenvolvimento de projetos na escola (facilitadores),Apoio aos projetos em desenvolvimento (facilitadores),Presença de regras no ambiente escolar (facilitadores),Promoção de compromisso e confiança (facilitadores),Valorização do ambiente escolar (facilitadores),Participação da comunidade e dos pais no trabalho de prevenção (facilitadores)
5738,45,Feminino,Pós-graduação,Divorciado (a),Professor (a),20,Católica,Sim,Sim,Escola,Adequado,Flexível,Importante,Organizado,Sempre,"Sim, considero",Sim,Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo totalmente,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Concordo,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5750,43,Feminino,Ensino Superior Completo,Casado (a),Professor (a),15,Católica,Sim,Sim,Comunidade,Muito adequado,Flexível,Importante,Muito organizado,Sempre,"Sim, considero",Sim,Discordo,Concordo totalmente,Concordo,Concordo totalmente,Concordo,Concordo totalmente,Concordo totalmente,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,"Nem discordo, nem concordo",Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,"Nem discordo, nem concordo","Nem discordo, nem concordo",Concordo,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5757,47,Feminino,Ensino Superior Completo,Casado (a),Outros,13,Católica,Sim,Sim,Família,Muito adequado,Flexível,Muito importante,Muito organizado,Sempre,"Sim, considero",Não,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,"Nem discordo, nem concordo",Concordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Discordo,Discordo,"Nem discordo, nem concordo",Concordo,Discordo totalmente,Concordo,Concordo totalmente,Concordo,Concordo,Discordo totalmente,Discordo totalmente,Discordo,Discordo,Concordo,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5771,48,Feminino,Pós-graduação,Casado (a),Professor (a),29,Católica,Não,Não,Comunidade,Muito adequado,Flexível,Muito importante,Muito organizado,Sempre,"Sim, considero, porém, poderia estar me esforçando mais",Não,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,"Nem discordo, nem concordo",Concordo,Concordo,Discordo,Concordo,"Nem discordo, nem concordo",Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Concordo,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5783,54,Feminino,Pós-graduação,Casado (a),Professor (a),29,Católica,Sim,Não,Escola,Muito adequado,Flexível,Importante,Muito organizado,Sempre,"Sim, considero",Não,Discordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Concordo,Discordo,"Nem discordo, nem concordo",Concordo,Concordo,Concordo,Concordo totalmente,Discordo,Discordo,"Nem discordo, nem concordo",Concordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo totalmente,Discordo,Discordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo totalmente,Discordo,Discordo,Concordo totalmente,Não,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5799,42,Feminino,Ensino Superior Completo,Casado (a),Professor (a),2,Católica,Não,Não,Comunidade,Muito adequado,Flexível,Importante,Muito organizado,Sempre,"Não, não considero",Sim,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Concordo totalmente,Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5836,42,Feminino,Pós-graduação,Casado (a),Professor (a),7,Católica,Sim,Não,Comunidade,Muito adequado,Flexível,Importante,Muito organizado,Sempre,"Sim, considero",Não,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo totalmente,"Nem discordo, nem concordo",Discordo,"Nem discordo, nem concordo",Discordo,Concordo,"Nem discordo, nem concordo",Concordo,"Nem discordo, nem concordo",Discordo totalmente,Discordo,"Nem discordo, nem concordo","Nem discordo, nem concordo",Concordo,Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5848,44,Feminino,Pós-graduação,Casado (a),Professor (a),20,Católica,Sim,Sim,Escola,Muito adequado,Flexível,Importante,Muito organizado,Sempre,"Sim, considero, porém, poderia estar me esforçando mais",Não,Discordo,Concordo,Concordo,Concordo totalmente,Concordo,Concordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,"Nem discordo, nem concordo",Concordo,"Nem discordo, nem concordo",Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Concordo,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5849,43,Feminino,Pós-graduação,Casado (a),Professor (a),22,Católica,Sim,Sim,Escola,Muito adequado,Flexível,Importante,Muito organizado,Sempre,"Sim, considero",Não,Concordo,Concordo,Concordo,Concordo totalmente,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,"Nem discordo, nem concordo",Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,"Nem discordo, nem concordo",Discordo,Concordo,Não,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1
5863,39,Feminino,Pós-graduação,Casado (a),Professor (a),15,Católica,Sim,Sim,Escola,Muito adequado,Flexível,Muito importante,Muito organizado,Sempre,"Sim, considero",Sim,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo totalmente,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo totalmente,Discordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Concordo,Sim,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
5881,41,Feminino,Pós-graduação,Divorciado (a),Professor (a),8,Católica,Sim,Sim,Escola,Muito adequado,Flexível,Importante,Organizado,Às vezes,"Sim, considero, porém, poderia estar me esforçando mais",Sim,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo,"Nem discordo, nem concordo",Concordo,Concordo,Concordo,Concordo,"Nem discordo, nem concordo",Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo totalmente,Discordo,Discordo,"Nem discordo, nem concordo",Discordo,Concordo,Concordo,Concordo,Discordo,"Nem discordo, nem concordo",Discordo,Concordo,Discordo,Concordo,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5890,42,Feminino,Pós-graduação,Casado (a),Professor (a),20,Católica,Sim,Sim,Escola,Muito adequado,Flexível,Importante,Muito organizado,Sempre,"Sim, considero",Não,Discordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,"Nem discordo, nem concordo",Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo totalmente,Concordo,Discordo,Concordo,Discordo,Concordo,"Nem discordo, nem concordo",Concordo,Concordo,Discordo,Discordo,"Nem discordo, nem concordo","Nem discordo, nem concordo",Concordo,Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5893,44,Masculino,Pós-graduação,Casado (a),Professor (a),26,Católica,Sim,Não,Escola,Muito adequado,Flexível,Muito importante,Muito organizado,Sempre,"Sim, considero",Sim,Discordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Concordo totalmente,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo totalmente,"Nem discordo, nem concordo",Discordo,Discordo,Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo totalmente,Discordo,Discordo,Concordo,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5907,61,Feminino,Ensino Superior Completo,Casado (a),Professor (a),2,Católica,Sim,Não,Escola,Adequado,Flexível,Muito importante,Organizado,Sempre,"Sim, considero, porém, poderia estar me esforçando mais",Não,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Discordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Concordo,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5917,49,Feminino,Pós-graduação,Divorciado (a),Diretor (a),20,Católica,Sim,Sim,Escola,Muito adequado,Muito flexível,Importante,Muito organizado,Sempre,"Sim, considero, porém, poderia estar me esforçando mais",Sim,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,"Nem discordo, nem concordo",Concordo,"Nem discordo, nem concordo",Concordo,Concordo,Discordo,Discordo,Discordo,Concordo,Discordo,Concordo,Concordo,"Nem discordo, nem concordo",Concordo,Discordo,Discordo,Discordo,Discordo,Concordo,Sim,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0
5919,33,Feminino,Pós-graduação,Casado (a),Professor (a),2,Católica,Sim,Sim,Família,Adequado,Flexível,Importante,Organizado,Sempre,"Sim, considero, porém, poderia estar me esforçando mais",Sim,Discordo,Concordo totalmente,Concordo,Concordo,Concordo,Concordo totalmente,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo totalmente,Discordo,Discordo,"Nem discordo, nem concordo",Discordo,"Nem discordo, nem concordo",Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Concordo,Sim,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5927,41,Feminino,Pós-graduação,Casado (a),Professor (a),20,Católica,Não,Sim,Escola,Muito adequado,Flexível,Muito importante,Organizado,Sempre,"Sim, considero, porém, poderia estar me esforçando mais",Não,Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Discordo,Concordo,Concordo totalmente,Concordo,Discordo,Concordo totalmente,Concordo,Concordo,"Nem discordo, nem concordo",Concordo,Discordo,Discordo,"Nem discordo, nem concordo",Concordo,Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo totalmente,Concordo,Concordo totalmente,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5935,49,Feminino,Ensino Superior Completo,Casado (a),Professor (a),14,Católica,Sim,Sim,Família,Muito adequado,Flexível,Importante,Muito organizado,Sempre,"Sim, considero",Não,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,"Nem discordo, nem concordo","Nem discordo, nem concordo",Concordo,Discordo,Concordo,"Nem discordo, nem concordo",Discordo,Concordo,Concordo,Discordo,Discordo totalmente,"Nem discordo, nem concordo","Nem discordo, nem concordo",Discordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Concordo,Sim,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0
5943,41,Feminino,Ensino Superior Completo,Casado (a),Outros,13,Católica,Sim,Não,Escola,Muito adequado,Flexível,Importante,Organizado,Às vezes,"Sim, considero",Não,Discordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Concordo,Discordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Discordo,"Nem discordo, nem concordo",Concordo,Concordo,Concordo,Concordo,Discordo totalmente,Discordo,Discordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Discordo,Concordo,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5944,42,Feminino,Ensino Superior Completo,Casado (a),Professor (a),3,Católica,Não,Não,Escola,Muito adequado,Flexível,Importante,Organizado,Sempre,"Sim, considero",Não,Discordo,Concordo,Concordo,Concordo totalmente,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,"Nem discordo, nem concordo",Concordo,Concordo,Discordo,Concordo,Concordo totalmente,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Concordo,Discordo,"Nem discordo, nem concordo",Concordo,Concordo,"Nem discordo, nem concordo",Discordo,Discordo,Concordo,Concordo,Concordo,Sim,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
5968,44,Feminino,Ensino Superior Completo,Casado (a),Professor (a),13,Católica,Não,Não,Amigos,Adequado,Flexível,Muito importante,Organizado,Sempre,"Sim, considero",Sim,Discordo,Concordo,Concordo,Concordo totalmente,Concordo,Concordo totalmente,Concordo,Discordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo totalmente,Discordo,Discordo,Discordo,Discordo totalmente,"Nem discordo, nem concordo",Concordo,"Nem discordo, nem concordo",Discordo,Discordo,Discordo totalmente,Concordo,Concordo,Concordo,Não,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5976,46,Feminino,Pós-graduação,Casado (a),Professor (a),10,Católica,Não,Sim,Escola,Muito adequado,Flexível,Muito importante,Organizado,Sempre,"Sim, considero",Não,Discordo,Concordo,Concordo,Concordo totalmente,Concordo,Concordo,Concordo totalmente,Discordo,Discordo,Concordo,Concordo,"Nem discordo, nem concordo",Concordo,Discordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,"Nem discordo, nem concordo",Concordo,Concordo,Discordo totalmente,Discordo,Discordo,Concordo,Discordo totalmente,Concordo,Concordo,"Nem discordo, nem concordo",Discordo,Discordo,Discordo,Discordo,"Nem discordo, nem concordo",Concordo totalmente,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5980,47,Feminino,Pós-graduação,Casado (a),Professor (a),24,Católica,Sim,Sim,Escola,Muito adequado,Flexível,Muito importante,Muito organizado,Sempre,"Sim, considero",Não,Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Concordo,Discordo totalmente,Discordo,Concordo,"Nem discordo, nem concordo","Nem discordo, nem concordo",Concordo,Discordo,Concordo,"Nem discordo, nem concordo",Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,"Nem discordo, nem concordo",Concordo,Discordo,Concordo,"Nem discordo, nem concordo","Nem discordo, nem concordo",Concordo,Discordo,Discordo,"Nem discordo, nem concordo",Discordo,Concordo,Sim,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0
